path,line_count
"ia_carmine\providers\npu\pipeline\prompts.py",86
"ia_carmine\providers\npu\pipeline\providers.py",269
"ia_carmine\providers\npu\pipeline\README.md",163
"ia_carmine\providers\npu\pipeline\reports.py",102
"ia_carmine\providers\npu\pipeline\runner.py",59
"ia_carmine\providers\npu\pipeline\validators.py",67
"ia_carmine\providers\npu\provider_mesh\__init__.py",1
"ia_carmine\providers\npu\provider_mesh\_shared\__init__.py",1
"ia_carmine\providers\npu\provider_mesh\_shared\ai_memory_context.py",108
"ia_carmine\providers\npu\provider_mesh\_shared\code_context_config.py",50
"ia_carmine\providers\npu\provider_mesh\_shared\npu_runtime.py",163
"ia_carmine\providers\npu\provider_mesh\_shared\ollama_runtime.py",31
"ia_carmine\providers\npu\provider_mesh\ai_service_packet\__init__.py",3
"ia_carmine\providers\npu\provider_mesh\ai_service_packet\cli.py",341
"ia_carmine\providers\npu\provider_mesh\blender_manual_context\__init__.py",3
"ia_carmine\providers\npu\provider_mesh\blender_manual_context\cli.py",271
